,mean,std,number_of_edges,quadratic_sum_deviation,dominant_direction,dominant_percentage,second_dominant_direction,second_dominant_percentage,mean_deviation,skew,kurtosis
West Hollywood,0.14,0.625,2429.0,17.981,"(80, 90]",17.785,"(0, 10]",17.662,0.773,-0.236,2.082
Pomona,0.086,0.59,20003.0,15.176,"(80, 90]",26.251,"(90, 100]",8.084,0.451,-0.069,2.069
Hollywood Hills West,0.044,0.696,12826.0,0.299,"(80, 90]",7.118,"(160, 170]",6.97,0.105,-0.038,1.516
Panorama City,-0.015,0.667,3973.0,15.402,"(80, 90]",20.589,"(0, 10]",14.196,0.755,0.083,1.84
Arleta,0.023,0.712,2903.0,72.395,"(40, 50]",39.752,"(130, 140]",34.172,1.271,-0.093,1.1
Wilmington,0.145,0.519,4949.0,72.849,"(80, 90]",51.485,"(0, 10]",6.607,0.936,-0.154,2.903
La Habra Heights,0.081,0.671,7570.0,0.307,"(70, 80]",7.001,"(90, 100]",6.869,0.11,-0.149,1.608
Rowland Heights,0.109,0.668,8692.0,3.935,"(90, 100]",13.127,"(0, 10]",11.562,0.342,-0.126,1.721
San Pedro,0.097,0.639,12184.0,10.052,"(90, 100]",17.663,"(0, 10]",13.748,0.541,-0.067,1.902
Lincoln Heights,0.044,0.692,2628.0,8.687,"(80, 90]",17.694,"(150, 160]",13.927,0.436,-0.133,1.619
East Los Angeles,0.217,0.632,10172.0,9.297,"(10, 20]",15.611,"(80, 90]",15.189,0.57,-0.261,1.876
